time,ethusdt,btcusdt
1681117481.6385741,1858.05,28283.18
1681117483.174582,1858.04,28283.17
1681117484.198367,1858.04,28283.17
1681117485.2274241,1858.04,28283.18
1681117486.2489018,1858.05,28283.17
1681117487.2737863,1858.04,28283.18
1681117488.304876,1858.04,28283.17
1681117489.3208008,1858.05,28283.17
1681117490.447912,1858.05,28283.17
1681117491.4677384,1858.05,28283.18
1681117492.4951355,1858.05,28283.18
1681117493.5286968,1858.05,28283.17
1681117494.5497773,1858.05,28283.17
1681117495.56469,1858.05,28283.18
1681117496.5884478,1858.05,28283.18
1681117497.6130278,1858.05,28283.17
1681117498.6556008,1858.04,28283.18
1681117499.7727256,1858.04,28283.18
1681117500.7865112,1858.04,28283.17
1681117501.8200874,1858.05,28283.17
1681117503.8604126,1858.04,28283.17
1681117505.0159576,1858.04,28283.18
1681117506.0094595,1858.04,28283.18
1681117507.488116,1858.04,28283.18
1681117508.4726748,1858.04,28283.18
1681117509.593926,1858.05,28283.18
1681117510.6248717,1858.05,28283.18
1681117511.6486938,1858.05,28283.17
1681117512.6655953,1858.04,28283.18
1681117513.6884792,1858.04,28283.18
1681117514.7227306,1858.04,28283.18
1681117515.7403011,1858.04,28283.18
1681117516.7624443,1858.05,28283.18
1681117517.7857852,1858.04,28283.17
1681117518.8178685,1858.05,28283.18
1681117519.8426898,1858.05,28283.17
1681117521.0644898,1858.05,28283.18
1681117522.0891993,1858.04,28283.18
1681117523.1108472,1858.04,28283.18
1681117524.137,1858.04,28283.17
1681117525.161566,1858.04,28283.18
1681117526.1091309,1858.05,28283.17
1681117527.1028862,1858.05,28282.94
1681117528.1291783,1858.05,28282.95
1681117529.2630608,1858.04,28282.95
1681117530.3860707,1858.05,28282.94
1681117531.4074059,1858.05,28282.94
1681117532.9406328,1858.05,28282.23
1681117533.9739623,1857.82,28282.22
1681117535.041424,1857.82,28282.22
1681117536.0118868,1857.82,28282.23
1681117537.042649,1857.82,28282.22
1681117538.0666242,1857.82,28282.22
1681117539.1857958,1857.78,28282.22
1681117540.2163844,1857.79,28282.22
1681117541.2425566,1857.79,28282.22
1681117542.3642278,1857.79,28282.22
1681117543.38744,1857.78,28282.22
1681117544.4084015,1857.78,28282.22
1681117545.4364576,1857.78,28282.23
1681117546.4565547,1857.78,28282.23
1681117547.4826732,1857.78,28282.23
1681117548.4713202,1857.79,28282.23
1681117549.5362446,1857.79,28282.23
1681117550.552649,1857.78,28281.49
1681117551.5765524,1857.79,28281.5
1681117552.6040819,1857.79,28281.49
1681117553.626356,1857.78,28281.5
1681117555.1609328,1857.79,28281.5
1681117556.1220672,1857.79,28281.49
1681117557.1662204,1857.79,28281.49
1681117558.235163,1857.79,28281.5
1681117559.2630248,1857.79,28281.49
1681117560.389265,1857.79,28281.49
1681117561.4109104,1857.79,28281.49
1681117562.3878489,1857.79,28281.5
1681117563.7856393,1857.79,28281.5
1681117565.251505,1857.79,28281.49
1681117566.7322211,1857.79,28281.5
1681117567.6178124,1857.79,28281.49
1681117568.6886604,1857.78,28281.49
1681117569.7294972,1857.78,28281.49
1681117571.1797729,1857.78,28281.49
1681117572.160517,1857.78,28281.49
1681117573.190312,1857.78,28281.5
1681117574.3120348,1857.55,28275.75
1681117575.3538704,1857.5,28275.75
1681117576.3579156,1857.51,28275.74
1681117577.337518,1857.5,28275.75
1681117578.4076624,1857.43,28275.75
1681117579.328541,1857.43,28275.75
1681117580.461903,1857.43,28275.74
1681117581.5893235,1857.43,28275.74
1681117582.6043897,1857.36,28275.74
1681117583.629505,1857.2,28275.74
1681117585.1656215,1857.2,28275.3
1681117586.1883335,1857.2,28275.31
1681117587.215384,1857.29,28275.3
1681117588.2423298,1857.3,28275.3
1681117589.2640007,1857.3,28275.31
1681117590.2941751,1857.29,28275.3
1681117591.8201556,1857.3,28275.31
1681117592.8441753,1857.3,28275.31
1681117593.8688931,1857.3,28275.3
1681117594.8950822,1857.3,28275.3
1681117595.921316,1857.44,28275.32
1681117596.9407876,1857.52,28275.74
1681117597.9682689,1857.63,28275.74
1681117598.9926896,1857.64,28275.86
1681117600.2301867,1857.75,28275.86
1681117601.3506818,1857.75,28276.84
1681117602.375275,1857.75,28277.87
1681117603.2985911,1857.75,28277.86
1681117604.3144386,1857.75,28277.87
1681117605.3386312,1857.76,28277.87
1681117606.366717,1857.75,28277.87
1681117607.3850706,1857.75,28277.87
1681117608.4091818,1857.76,28277.87
